Measurement ID;3623
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;5/22/2017 8:47:26 AM
End Time;5/30/2017 7:42:20 AM
Test section;EIS00010
Comment;0degC EIS vs SOC
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;
Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
5/22/2017 2:33:59 PM;42;EIS;05:46:26.410;00:06:19.251;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.80011;2.00000;-2.00000;20.00000;10.00000;32.00000;16.00000;4.03623;73.58894;-25.58568;0.79957;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.08166;0.13883;77.90994;-19.17173;0.00000;0.00000;1.92781;
5/22/2017 2:34:10 PM;42;EIS;05:46:38.100;00:06:30.941;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.60000;2.00000;-2.00000;20.00000;10.00000;33.00000;16.00000;4.03590;79.51269;-24.75331;0.59904;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06879;0.12834;83.27661;-17.29203;0.00000;0.00000;2.12956;
5/22/2017 2:34:21 PM;42;EIS;05:46:48.926;00:06:41.767;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.44994;2.00000;-2.00000;20.00000;10.00000;34.00000;16.00000;4.03540;84.54516;-22.91054;0.44964;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05224;0.12013;87.59439;-15.16221;0.00000;0.00000;1.92781;
5/22/2017 2:34:32 PM;42;EIS;05:46:59.314;00:06:52.155;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.33740;2.00000;-2.00000;20.00000;10.00000;35.00000;16.00000;4.03902;88.75258;-20.60268;0.33723;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03993;0.11414;91.11252;-13.06895;0.00000;0.00000;1.92781;
5/22/2017 2:34:46 PM;42;EIS;05:47:13.320;00:07:06.161;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.25302;2.00000;-2.00000;20.00000;10.00000;36.00000;16.00000;4.03684;92.62903;-18.17818;0.25270;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03993;0.10978;94.39589;-11.10303;0.00000;0.00000;1.93902;
5/22/2017 2:35:04 PM;42;EIS;05:47:31.333;00:07:24.174;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.18974;2.00000;-2.00000;20.00000;10.00000;37.00000;16.00000;4.03932;95.60346;-16.03864;0.18978;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02703;0.10595;96.93946;-9.52338;0.00000;0.00000;1.92781;
5/22/2017 2:35:26 PM;42;EIS;05:47:54.073;00:07:46.914;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.14228;2.00000;-2.00000;20.00000;10.00000;38.00000;16.00000;4.04324;97.91874;-14.40394;0.14248;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02105;0.10317;98.97249;-8.36825;0.00000;0.00000;1.93902;
5/22/2017 2:35:57 PM;42;EIS;05:48:24.293;00:08:17.134;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.10670;2.00000;-2.00000;20.00000;10.00000;39.00000;16.00000;4.04333;99.99709;-13.19697;0.10678;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01839;0.10097;100.86415;-7.51808;0.00000;0.00000;1.92781;
5/22/2017 2:36:36 PM;42;EIS;05:49:03.299;00:08:56.140;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.08001;2.00000;-2.00000;20.00000;10.00000;40.00000;16.00000;4.04247;101.72656;-12.50925;0.07999;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01636;0.09916;102.49280;-7.01043;0.00000;0.00000;2.14077;
5/22/2017 2:37:28 PM;42;EIS;05:49:55.222;00:09:48.063;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.06000;2.00000;-2.00000;20.00000;10.00000;41.00000;16.00000;4.04346;103.41693;-12.22179;0.05994;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01646;0.09761;104.13661;-6.73994;0.00000;0.00000;1.93902;
5/22/2017 2:38:36 PM;42;EIS;05:51:03.262;00:10:56.103;2;1;Pan_5pulse_EIS_0dC;4.04115;0.00000;-0.14501;;0.00100;6000.00000;0.04499;2.00000;-2.00000;20.00000;10.00000;42.00000;16.00000;4.04352;105.03705;-12.44672;0.04507;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01518;0.09598;105.77194;-6.75794;0.00000;0.00000;1.92781;
5/22/2017 2:40:06 PM;42;EIS;05:52:33.799;00:12:26.640;2;1;Pan_5pulse_EIS_0dC;4.04179;0.00000;-0.14501;;0.00100;6000.00000;0.03374;2.00000;-2.00000;20.00000;10.00000;43.00000;16.00000;4.04377;106.87575;-13.00765;0.03377;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01786;0.09454;107.66441;-6.93924;0.00000;0.00000;2.14077;
5/22/2017 2:42:07 PM;42;EIS;05:54:34.559;00:14:27.400;2;1;Pan_5pulse_EIS_0dC;4.04179;0.00000;-0.14501;;0.00100;6000.00000;0.02530;2.00000;-2.00000;20.00000;10.00000;44.00000;16.00000;4.04327;108.84042;-14.07887;0.02531;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02020;0.09296;109.74722;-7.37047;0.00000;0.00000;1.92781;
5/22/2017 2:44:47 PM;42;EIS;05:57:14.456;00:17:07.297;2;1;Pan_5pulse_EIS_0dC;4.04244;0.00000;-0.14501;;0.00100;6000.00000;0.01897;2.00000;-2.00000;20.00000;10.00000;45.00000;16.00000;4.04369;110.81898;-15.62686;0.01896;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01904;0.09105;111.91535;-8.02650;0.00000;0.00000;2.12956;
5/22/2017 2:48:20 PM;42;EIS;06:00:47.464;00:20:40.305;2;1;Pan_5pulse_EIS_0dC;4.04244;0.00000;-0.14501;;0.00100;6000.00000;0.01423;2.00000;-2.00000;20.00000;10.00000;46.00000;16.00000;4.04428;113.31344;-17.60222;0.01422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02490;0.08938;114.67246;-8.82981;0.00000;0.00000;1.93902;
5/22/2017 2:53:03 PM;42;EIS;06:05:30.845;00:25:23.686;2;1;Pan_5pulse_EIS_0dC;4.04308;0.00000;-0.14501;;0.00100;6000.00000;0.01067;2.00000;-2.00000;20.00000;10.00000;47.00000;16.00000;4.04481;116.03012;-20.00781;0.01065;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02640;0.08717;117.74252;-9.78366;0.00000;0.00000;1.93902;
5/22/2017 2:59:20 PM;42;EIS;06:11:47.775;00:31:40.616;2;1;Pan_5pulse_EIS_0dC;4.04372;0.00000;-0.14501;;0.00100;6000.00000;0.00800;2.00000;-2.00000;20.00000;10.00000;48.00000;16.00000;4.04540;119.39231;-22.92405;0.00800;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03280;0.08495;121.57317;-10.86886;0.00000;0.00000;1.93902;
5/22/2017 3:07:42 PM;42;EIS;06:20:09.909;00:40:02.750;2;1;Pan_5pulse_EIS_0dC;4.04437;0.00000;-0.14501;;0.00100;6000.00000;0.00600;2.00000;-2.00000;20.00000;10.00000;49.00000;16.00000;4.04615;123.32396;-26.41872;0.00600;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03730;0.08225;126.12196;-12.09127;0.00000;0.00000;1.93902;
5/22/2017 3:18:52 PM;42;EIS;06:31:19.920;00:51:12.761;2;1;Pan_5pulse_EIS_0dC;4.04501;0.00000;-0.14501;;0.00100;6000.00000;0.00450;2.00000;-2.00000;20.00000;10.00000;50.00000;16.00000;4.04686;128.59195;-30.50112;0.00449;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04822;0.07931;132.15979;-13.34357;0.00000;0.00000;1.95023;
5/22/2017 3:33:44 PM;42;EIS;06:46:11.350;01:06:04.191;2;1;Pan_5pulse_EIS_0dC;4.04565;0.00000;-0.14501;;0.00100;6000.00000;0.00337;2.00000;-2.00000;20.00000;10.00000;51.00000;16.00000;4.04786;135.19016;-34.97307;0.00338;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05640;0.07565;139.64059;-14.50418;0.00000;0.00000;1.93902;
5/22/2017 3:53:30 PM;42;EIS;07:05:57.827;01:25:50.668;2;1;Pan_5pulse_EIS_0dC;4.04694;0.00000;-0.14501;;0.00100;6000.00000;0.00253;2.00000;-2.00000;20.00000;10.00000;52.00000;16.00000;4.04850;142.57245;-39.56435;0.00253;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05640;0.07160;147.96027;-15.50952;0.00000;0.00000;1.93902;
5/22/2017 4:19:54 PM;42;EIS;07:32:21.960;01:52:14.801;2;1;Pan_5pulse_EIS_0dC;4.04758;0.00000;-0.14501;;0.00100;6000.00000;0.00190;2.00000;-2.00000;20.00000;10.00000;53.00000;16.00000;4.04951;150.37940;-44.12228;0.00190;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05946;0.06760;156.71867;-16.35203;0.00000;0.00000;1.93902;
5/22/2017 4:55:04 PM;42;EIS;08:07:31.391;02:27:24.232;2;1;Pan_5pulse_EIS_0dC;4.04823;0.00000;-0.14501;;0.00100;6000.00000;0.00142;2.00000;-2.00000;20.00000;10.00000;54.00000;16.00000;4.05029;158.13667;-49.01569;0.00142;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05618;0.06379;165.55888;-17.22123;0.00000;0.00000;1.93902;
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;5/22/2017 8:47:26 AM
End Time;5/30/2017 7:42:20 AM
Test section;EIS00003
Comment;0degC EIS vs SOC
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;
Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/22/2017 6:38:03 PM;51;EIS;09:50:30.922;00:00:21.291;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.99353;23.74715;7.74977;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99368;0.39779;24.97972;18.07384;0.00000;0.00000;1.93902;
5/22/2017 6:38:14 PM;51;EIS;09:50:41.747;00:00:32.116;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.99255;23.45218;5.65078;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96440;0.39978;24.12336;13.54714;0.00000;0.00000;1.93902;
5/22/2017 6:38:25 PM;51;EIS;09:50:52.422;00:00:42.791;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.99568;23.32902;3.75039;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97844;0.41409;23.62856;9.13276;0.00000;0.00000;1.93902;
5/22/2017 6:38:36 PM;51;EIS;09:51:03.133;00:00:53.502;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.99449;23.39729;2.05149;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99337;0.42294;23.48706;5.01090;0.00000;0.00000;1.93902;
5/22/2017 6:38:46 PM;51;EIS;09:51:13.940;00:01:04.309;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.99704;23.63195;0.69091;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00619;0.42560;23.64205;1.67464;0.00000;0.00000;1.93902;
5/22/2017 6:38:57 PM;51;EIS;09:51:24.768;00:01:15.137;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.99361;23.96799;-0.37191;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01365;0.42287;23.97087;-0.88898;0.00000;0.00000;1.93902;
5/22/2017 6:39:08 PM;51;EIS;09:51:35.617;00:01:25.986;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.99922;24.43595;-1.35038;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02071;0.41707;24.47324;-3.16305;0.00000;0.00000;1.92781;
5/22/2017 6:39:19 PM;51;EIS;09:51:46.539;00:01:36.908;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.99366;24.98805;-2.17436;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02483;0.40858;25.08247;-4.97312;0.00000;0.00000;1.92781;
5/22/2017 6:39:30 PM;51;EIS;09:51:57.993;00:01:48.362;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.99368;25.62619;-2.90429;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02813;0.39865;25.79024;-6.46591;0.00000;0.00000;1.93902;
5/22/2017 6:39:42 PM;51;EIS;09:52:09.375;00:01:59.744;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;3.99368;26.34686;-3.55898;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03079;0.38772;26.58615;-7.69304;0.00000;0.00000;1.93902;
5/22/2017 6:39:53 PM;51;EIS;09:52:20.894;00:02:11.263;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;3.98722;27.16715;-4.17048;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03364;0.37607;27.48540;-8.72745;0.00000;0.00000;2.14077;
5/22/2017 6:40:05 PM;51;EIS;09:52:32.743;00:02:23.112;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;253.01790;2.00000;-2.00000;20.00000;10.00000;12.00000;16.00000;3.98910;28.05282;-4.72802;253.29816;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03490;0.36378;28.44846;-9.56671;0.00000;0.00000;2.14077;
5/22/2017 6:40:17 PM;51;EIS;09:52:44.914;00:02:35.283;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;189.73666;2.00000;-2.00000;20.00000;10.00000;13.00000;16.00000;3.99374;29.03018;-5.25630;189.72333;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03788;0.35180;29.50221;-10.26297;0.00000;0.00000;1.92781;
5/22/2017 6:40:29 PM;51;EIS;09:52:56.522;00:02:46.891;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;142.28242;2.00000;-2.00000;20.00000;10.00000;14.00000;16.00000;3.99313;30.07637;-5.75534;142.43323;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03788;0.33876;30.62208;-10.83301;0.00000;0.00000;1.93902;
5/22/2017 6:40:41 PM;51;EIS;09:53:08.506;00:02:58.875;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;106.69676;2.00000;-2.00000;20.00000;10.00000;15.00000;16.00000;4.00366;31.19939;-6.23344;106.66666;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03873;0.32648;31.81600;-11.29856;0.00000;0.00000;2.15198;
5/22/2017 6:40:53 PM;51;EIS;09:53:20.103;00:03:10.472;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;80.01129;2.00000;-2.00000;20.00000;10.00000;16.00000;16.00000;3.99379;32.38975;-6.70822;80.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03979;0.31435;33.07713;-11.70107;0.00000;0.00000;1.93902;
5/22/2017 6:41:04 PM;51;EIS;09:53:31.966;00:03:22.335;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;60.00000;2.00000;-2.00000;20.00000;10.00000;17.00000;16.00000;3.99378;33.64224;-7.19620;60.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04051;0.30245;34.40328;-12.07383;0.00000;0.00000;1.93902;
5/22/2017 6:41:16 PM;51;EIS;09:53:43.402;00:03:33.771;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;44.99365;2.00000;-2.00000;20.00000;10.00000;18.00000;16.00000;3.99380;34.98133;-7.70218;44.94382;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04105;0.29064;35.81922;-12.41724;0.00000;0.00000;1.93902;
5/22/2017 6:41:28 PM;51;EIS;09:53:55.110;00:03:45.479;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;33.74048;2.00000;-2.00000;20.00000;10.00000;19.00000;16.00000;3.98566;36.39860;-8.22569;33.70787;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04152;0.27910;37.31648;-12.73431;0.00000;0.00000;1.95023;
5/22/2017 6:41:40 PM;51;EIS;09:54:07.264;00:03:57.633;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;25.30179;2.00000;-2.00000;20.00000;10.00000;20.00000;16.00000;3.99843;37.89350;-8.76273;25.31646;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04152;0.26783;38.89348;-13.02057;0.00000;0.00000;1.93902;
5/22/2017 6:41:51 PM;51;EIS;09:54:18.876;00:04:09.245;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;18.97367;2.00000;-2.00000;20.00000;10.00000;21.00000;16.00000;3.99383;39.46288;-9.32182;18.98734;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04330;0.25729;40.54893;-13.29063;0.00000;0.00000;1.93902;
5/22/2017 6:42:03 PM;51;EIS;09:54:30.788;00:04:21.157;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;14.22824;2.00000;-2.00000;20.00000;10.00000;22.00000;16.00000;3.98706;41.09053;-9.92780;14.21801;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04236;0.24658;42.27283;-13.58281;0.00000;0.00000;1.93902;
5/22/2017 6:42:15 PM;51;EIS;09:54:42.232;00:04:32.601;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;10.66968;2.00000;-2.00000;20.00000;10.00000;23.00000;16.00000;3.99097;42.76610;-10.61541;10.67616;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04245;0.23658;44.06389;-13.94023;0.00000;0.00000;1.93902;
5/22/2017 6:42:26 PM;51;EIS;09:54:54.005;00:04:44.374;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;8.00113;2.00000;-2.00000;20.00000;10.00000;24.00000;16.00000;3.98467;44.53479;-11.47243;8.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04245;0.22700;45.98874;-14.44566;0.00000;0.00000;1.93902;
5/22/2017 6:42:39 PM;51;EIS;09:55:06.158;00:04:56.527;1;1;Pan_5pulse_EIS_0dC;3.99225;0.00000;-0.29001;;0.00100;6000.00000;6.00000;2.00000;-2.00000;20.00000;10.00000;25.00000;16.00000;3.99855;46.39367;-12.51980;6.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04450;0.21736;48.05328;-15.10211;0.00000;0.00000;1.93902;
5/22/2017 6:42:50 PM;51;EIS;09:55:17.753;00:05:08.122;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;4.49937;2.00000;-2.00000;20.00000;10.00000;26.00000;16.00000;3.98548;48.50247;-13.82131;4.50450;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04988;0.20817;50.43330;-15.90548;0.00000;0.00000;2.15198;
5/22/2017 6:43:02 PM;51;EIS;09:55:29.791;00:05:20.160;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;3.37405;2.00000;-2.00000;20.00000;10.00000;27.00000;16.00000;3.98902;51.05096;-15.35638;3.37079;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05706;0.19828;53.31059;-16.74154;0.00000;0.00000;1.93902;
5/22/2017 6:43:14 PM;51;EIS;09:55:41.259;00:05:31.628;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;2.53018;2.00000;-2.00000;20.00000;10.00000;28.00000;16.00000;3.99388;54.14502;-16.96998;2.53378;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06435;0.18758;56.74208;-17.40189;0.00000;0.00000;1.93902;
5/22/2017 6:43:26 PM;51;EIS;09:55:53.266;00:05:43.635;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1.89737;2.00000;-2.00000;20.00000;10.00000;29.00000;16.00000;3.98611;57.85565;-18.38017;1.89873;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06989;0.17624;60.70508;-17.62454;0.00000;0.00000;1.93902;
5/22/2017 6:43:37 PM;51;EIS;09:56:04.505;00:05:54.874;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1.42282;2.00000;-2.00000;20.00000;10.00000;30.00000;16.00000;3.99036;62.15407;-19.28759;1.42045;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07196;0.16472;65.07795;-17.24011;0.00000;0.00000;1.92781;
5/22/2017 6:43:49 PM;51;EIS;09:56:16.603;00:06:06.972;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;1.06697;2.00000;-2.00000;20.00000;10.00000;31.00000;16.00000;3.99391;66.70275;-19.40159;1.06838;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06747;0.15367;69.46711;-16.21794;0.00000;0.00000;2.14077;
5/22/2017 6:44:01 PM;51;EIS;09:56:28.799;00:06:19.168;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;0.80011;2.00000;-2.00000;20.00000;10.00000;32.00000;16.00000;3.98379;71.07188;-18.65023;0.79957;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05755;0.14393;73.47818;-14.70367;0.00000;0.00000;2.15198;
5/22/2017 6:44:13 PM;51;EIS;09:56:40.496;00:06:30.865;1;1;Pan_5pulse_EIS_0dC;3.99161;0.00000;-0.29001;;0.00100;6000.00000;0.60000;2.00000;-2.00000;20.00000;10.00000;33.00000;16.00000;3.98600;74.85141;-17.29136;0.59904;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04521;0.13605;76.82268;-13.00767;0.00000;0.00000;1.93902;
